,title,vote_count,vote_average,release_date,original_language
313,Jurassic Hunt,202,5.1,2021-08-26,en
314,Dragon Ball Z: Broly – Second Coming,517,6.7,1994-03-12,ja
315,Fifty Shades of Grey,10309,5.9,2015-02-11,en
316,Naruto: The Lost Story - Mission: Protect the Waterfall Village!,59,6.7,2003-12-20,ja
317,American Siege,92,5.8,2022-01-07,en
318,The Weekend Away,443,6.0,2022-03-03,en
319,Tom & Jerry,2037,7.0,2021-02-10,en
320,Your Name.,8867,8.5,2016-08-26,ja
321,Two,259,5.4,2021-07-23,es
322,Captain America: Civil War,20007,7.4,2016-04-27,en
323,Harry Potter and the Order of the Phoenix,16518,7.7,2007-06-28,en
324,Fury,10047,7.5,2014-10-15,en
325,Soul,8180,8.2,2020-12-25,en
326,Mother/Android,521,5.8,2021-12-17,en
327,Father of the Bride,106,7.1,2022-06-05,en
328,One Shot,666,6.8,2021-11-05,en
329,Ted K,36,6.0,2021-10-29,en
330,Boyka: Undisputed IV,1023,7.0,2016-08-01,en
331,Ted 2,6250,6.3,2015-06-25,en
332,Monster Family 2,42,6.9,2021-01-13,en
333,Toy Story 4,8131,7.6,2019-06-19,en
334,The Hobbit: The Battle of the Five Armies,12100,7.3,2014-12-10,en
335,Wish Dragon,893,8.0,2021-01-15,en
336,No Manches Frida,657,7.8,2016-09-02,es
337,The Forever Purge,1809,7.2,2021-06-30,en
338,Back to the Outback,501,7.8,2021-12-03,en
339,Deadpool 2,14844,7.5,2018-05-10,en
340,Pirates of the Caribbean: Dead Man's Chest,13632,7.3,2006-07-06,en
341,Monster Hunter,2621,6.8,2020-12-03,en
342,Jackass Forever,433,7.0,2022-02-01,en
343,Iron Man 2,18133,6.8,2010-04-28,en
344,Dragon Ball Z: Fusion Reborn,641,7.4,1995-03-04,ja
345,Knowing,4426,6.1,2009-03-19,en
346,Cha Cha Real Smooth,74,7.3,2022-06-17,en
347,"The Simpsons: The Good, the Bart, and the Loki",540,7.5,2021-07-07,en
348,Fifty Shades Freed,6937,6.7,2018-01-17,en
349,Taste 2,1,8.0,2015-09-02,ko
350,Ratatouille,14098,7.8,2007-06-28,en
351,Titanic,21230,7.9,1997-11-18,en
352,Black Water: Abyss,335,5.1,2020-07-09,en
353,The Amazing Spider-Man 2,11162,6.5,2014-04-16,en
354,La Vida en el Silencio,2,6.0,2022-06-17,es
355,Rurouni Kenshin: The Beginning,283,7.8,2021-06-04,ja
356,Downton Abbey: A New Era,152,7.3,2022-04-27,en
357,Mulan,8123,7.9,1998-06-18,en
358,Crazy Fist,49,7.1,2021-05-06,zh
359,Naruto to Boruto: The Live 2019,22,6.9,2019-05-05,ja
360,Spirit Untamed,392,7.5,2021-05-20,en
361,The Parent Trap,3337,7.1,1998-07-28,en
362,Dragon Ball Z: The Tree of Might,426,6.5,1990-06-07,ja
363,The Little Mermaid,6514,7.4,1989-11-17,en
364,Shazam!,7703,7.1,2019-03-29,en
365,Despicable Me 3,6048,6.4,2017-06-15,en
366,Scary Movie,5594,6.3,2000-07-07,en
